"","x"
"745"," 스타트업 인턴"
"746"," 교내 경영학회"
"747","해외대 "
"748"," scm "
"749"," 정보시스템 "
"750"," 학점 3.76"
"751","4.0 "
"752"," 인턴2"
"753","서울 4년제 "
"754"," 광고홍보 "
"755"," 학점 3.43 "
"756"," 토익 940 "
"757"," 인턴 1회"
"758"," 대외활동 3회"
"759"," 프리랜서 및 아르바이트 경험 다수"
"760"," 공모전 수상 1회"
"761","서울 4년제 "
"762"," 패션 "
"763"," 학점 3.8 "
"764"," 토스 lv. 7"
"765","해외대 "
"766"," business & Management "
"767"," 학점 3.94 "
"768"," 봉사활동1회"
"769"," 인턴2회"
"770","서울 중위권 "
"771"," 상경계 "
"772"," 학점 3.79 "
"773"," 토익 900 이상 "
"774"," 인턴 2회"
"775"," 동아리 등"
"776","미국 "
"777"," 경영 "
"778"," 학점 3.92"
"779","4.00 "
"780"," 인턴 1회"
"781"," 대외 5회"
"782","인서울 "
"783"," 영문과 "
"784"," 학점 3.7"
"785","4.5 "
"786"," 850"
"787","서울 하위권 "
"788"," 경영 "
"789"," 학점 3.76 "
"790"," 인턴 2회"
"791"," 장관상 수상1"
"792","경영 "
"793"," 학점 4 "
"794"," 토익 930"
"795","수도권 "
"796"," 신문방송 "
"797"," 학점 3.1 "
"798"," 토익 815 "
"799"," 대외활동 5회"
"800"," 인턴 2회"
"801","SKY "
"802"," 경영학과 "
"803"," 학점 4점 초반 "
"804"," 오픽 AL"
"805","해외대 "
"806"," 미디어 "
"807"," 학점 3.5"
"808","4.0 "
"809"," 토익 965"
"810"," 토익스피킹 레벨8 "
"811"," 인턴 2회"
"812","sky "
"813"," 인문 "
"814"," 학점 3.83 "
"815"," 토익 990"
"816"," 오픽 al "
"817"," 인턴 1회"
"818"," 대외활동 2회"
"819","SKY "
"820"," 상경계 "
"821"," 학점 3.7"
"822","4.3 "
"823"," 토익 950++"
"824"," 토스 6 "
"825"," 십시일밥 2학기째 활동중"
"826"," 광고공모전 IMC 부문1회 참가"
"827","중앙대학교 "
"828"," 영어영문학과 "
"829"," 학점 3.69 "
"830"," 토익 905"
"831"," 토익스피킹 LV7 "
"832"," 공모전 수상경험 2회"
"833","서성한 "
"834"," 경영 "
"835"," 학점 4.1 "
"836"," 오픽 AL"
"837","지방캠퍼스 "
"838"," 경영 "
"839"," 학점 3.63 "
"840"," 토익 980"
"841","고려대 "
"842"," 학점 3.8 "
"843"," 토익 990 "
"844"," 은행 1회"
"845"," 봉사활동"
"846"," 공모전"
"847","서울 상위권 "
"848"," 상경 "
"849"," 학점 3점중반 "
"850"," 토익 900이상"
"851","서울 소재 "
"852"," 국어국문학과 "
"853"," 학점 3.76 "
"854"," 토스 레벨7 "
"855"," 봉사활동2회"
"856"," 대외활동3회"
"857"," 계약직 근무1회"
"858","서성한 "
"859"," 신문방송학과 "
"860"," 학점 3.2 "
"861"," 토익 850"
"862","지방4 "
"863"," 경제 "
"864"," 학점 3.9 "
"865"," 토익 800"
"866"," 토스 level 6"
"867","숙대"
"868","서울대 "
"869"," 경영&언론정보"
"870","경영 "
"871"," 학점 4.03"
"872","4.3 "
"873"," 토익 935"
"874"," 토스 레벨7 "
"875"," 인턴 1회"
"876"," 해외봉사 1회"
"877"," 국내봉사 4회"
"878"," 동아리 3개 등"
"879","학점 3.55 "
"880"," 토익 915"
"881","ky "
"882"," 비상경 문과 "
"883"," 학점 4.21 "
"884"," 오픽 AL "
"885"," 인턴 x"
"886"," 동아리 3회"
"887","서성한 "
"888"," 국제학부 "
"889"," 학점 3.46 "
"890"," 토익950"
"891"," 토스180"
"892"," HSK5급 "
"893"," 대외활동 유"
"894","sky "
"895"," 언론 "
"896"," 학점 4.21 "
"897"," 오픽 ih "
"898"," 대외활동 3회"
"899"," 봉사 1회"
"900","서울4년제 "
"901"," 기계설계 "
"902"," 학점 3.59 "
"903"," 오픽 IM2"
"904","서성한 "
"905"," 경영 "
"906"," 학점 3후반 "
"907"," 토익 950이상"
"908"," hsk 6급 "
"909"," 해외인턴1회"
"910"," 기관인턴 1회"
"911"," 드림클래스"
"912","서울상위대 "
"913"," 공대 "
"914"," 학점 4.0 "
"915"," 토익 970"
"916","서강대 "
"917"," 경영 "
"918"," 학점 3.6 "
"919"," 오픽 IH"
"920","서울 4년제 "
"921"," 정외 "
"922"," 학점 3.6 "
"923"," 토익 955 "
"924"," 인턴 1회"
"925"," 기타 토론 활동 1회"
"926","고려대학교 "
"927"," 경영학과 "
"928"," 학점 3.69 "
"929"," 토익 990"
"930"," 토스 레벨7 "
"931"," P&G CEO Challenge Top 3"
"932"," Waseda World Englishes Seminar 학교 대표"
"933"," 한샘 서포터즈 최우수상"
"934","중경외시 "
"935"," 어문 "
"936"," 학점 3.88 "
"937"," 오픽 AL"
"938"," 토익 960 "
"939"," 인턴1"
"940"," 경력1"
"941"," 대외1"
"942"," 봉사1"
"943","경희대 "
"944"," 식물환경신소재공학 "
"945"," 학점 4.03 "
"946"," 오픽 IH "
"947"," 봉사활동 1회"
"948"," 대외활동 7회"
"949"," 공모전 3회"
"950","해외대 "
"951"," 경영 마케팅 "
"952"," 학점 3.96 "
"953"," 토익 965 "
"954"," 인턴 2회"
"955","성균관 "
"956"," 신문방송 "
"957"," 학점 3.90 "
"958"," 토익 910"
"959"," 토스 170 "
"960"," 서울 동행프로젝트 봉사활동 대학생 기자단 1회"
"961","서성한 "
"962"," 화학공학 "
"963"," 학점 3.96 "
"964"," 토익 935 "
"965"," 학교 국제교류팀 1회"
"966","국숭세단 "
"967"," 상경계열 "
"968"," 학점 3.8 "
"969"," 토익 940"
"970"," 오픽 AL "
"971"," 인턴 1회"
"972"," 대외활동 3회 이상"
"973","경기권 "
"974"," 경영"
"975","광고 "
"976"," 학점 4점 초반"
"977","서울대학교 "
"978"," 중어중문학과 "
"979"," 학점 4.26 "
"980"," 토익 985"
"981"," 오픽 AL"
"982"," HSK 6급"
"983"," TSC 9급 "
"984"," 대외활동 1회(1년"
"985"," 행사 기획)"
"986"," 아모레퍼시픽 프로슈머 1회"
"987","sky "
"988"," 언론 전공 "
"989"," 학점 4.21 "
"990"," 오픽 IH "
"991"," 대외활동 3회"
"992"," 봉사 1회"
"993","지방국립대학 "
"994"," 경영학 "
"995"," 학점 4.09 "
"996"," 895"
"997","lv. 6 "
"998"," 대외활동 2회"
"999","센트럴 세인트마틴 "
"1000"," 공간디자인 "
"1001"," 학점 3.0 "
"1002"," 없음 "
"1003"," 없음"
"1004","고려대학교 "
"1005"," 경영학과 "
"1006"," 학점 3.69 "
"1007"," 토익 990"
"1008"," 토익스피킹 레벨7 "
"1009"," P&G CEO Challenge Top 3 "
"1010"," Waseda World Englishes Seminar 학교 대표 선발 "
"1011"," 한샘 서포터즈 최우수상"
"1012","SKY "
"1013"," 언어학 "
"1014"," 학점 4.13 "
"1015"," 토스 170 "
"1016"," 일반 봉사활동 210시간"
"1017"," 해외 봉사활동 90시간"
"1018"," 경영전략 학회 1년"
"1019","서성한 "
"1020"," 경제학과 "
"1021"," 학점 4.0 "
"1022"," 토익 990"
"1023","서성한 "
"1024"," 신문방송학과 "
"1025"," 학점 4.01 "
